Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
221;18062;"Sociologia Ruralis";journal;"14679523, 00380199";"Wiley-Blackwell Publishing Ltd";No;No;0,818;Q1;106;34;117;2764;467;116;3,78;81,29;52,94;11;18;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1960, 1962-2025";"Sociology and Political Science (Q1)";"Social Sciences"
222;5700166815;"Sexuality Research and Social Policy";journal;"15536610, 18689884";"Springer New York";No;No;0,817;Q1;56;155;205;9132;607;204;2,91;58,92;58,06;18;114;United States;Northern America;"Springer New York";"2005-2006, 2008-2025";"Gender Studies (Q1); Health (social science) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
223;12100155404;"Health Sociology Review";journal;"14461242, 18393551";"Routledge";No;No;0,816;Q1;41;21;70;1061;242;64;4,18;50,52;64,06;2;10;United Kingdom;Western Europe;"Routledge";"2008-2025";"Health (social science) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
224;21100975552;"Journal of Chinese Governance";journal;"23812354, 23812346";"Taylor and Francis Ltd.";No;No;0,816;Q1;22;25;78;1542;247;73;3,64;61,68;37,25;4;13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2016-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1); Public Administration (Q2)";"Social Sciences"
225;101305;"Journal of Sociology";journal;"17412978, 14407833";"SAGE Publications Ltd";No;No;0,797;Q1;66;34;155;2032;550;153;3,37;59,76;69,41;6;20;United Kingdom;Western Europe;"SAGE Publications Ltd";"1965-2025";"Sociology and Political Science (Q1)";"Social Sciences"
226;300147001;"European Journal of Social Theory";journal;"13684310";"SAGE Publications Ltd";No;No;0,796;Q1;77;33;94;2203;214;93;2,14;66,76;15,00;1;6;United Kingdom;Western Europe;"SAGE Publications Ltd";"1998-2025";"Sociology and Political Science (Q1)";"Social Sciences"
227;19700187804;"Children's Geographies";journal;"14733277, 14733285";"Carfax Publishing Ltd.";No;No;0,788;Q1;69;80;183;4166;502;177;2,86;52,08;73,79;11;39;United Kingdom;Western Europe;"Carfax Publishing Ltd.";"2003-2025";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Social Psychology (Q2)";"Psychology; Social Sciences"
228;29502;"Race and Class";journal;"03063968";"SAGE Publications Ltd";No;No;0,786;Q1;52;25;78;1312;185;62;1,92;52,48;50,00;0;13;United Kingdom;Western Europe;"SAGE Publications Ltd";"1959, 1962-2025";"Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
229;17389;"Rural Sociology";journal;"00360112, 15490831";"Wiley-Blackwell";No;No;0,786;Q1;82;50;101;3522;332;98;2,58;70,44;45,61;4;27;United States;Northern America;"Wiley-Blackwell";"1978-2025";"Sociology and Political Science (Q1)";"Social Sciences"
230;18798;"Higher Education Policy";journal;"09528733, 17403863";"Palgrave Macmillan Ltd.";No;No;0,777;Q1;54;46;126;2437;291;125;1,99;52,98;46,46;11;18;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1992, 1995-2025";"Education (Q1); Sociology and Political Science (Q1)";"Social Sciences"
231;23108;"Language and Speech";journal;"00238309, 17566053";"SAGE Publications Inc.";No;No;0,772;Q1;65;44;114;2948;253;112;2,24;67,00;60,91;0;3;United Kingdom;Western Europe;"SAGE Publications Inc.";"1958-2025";"Linguistics and Language (Q1); Sociology and Political Science (Q1); Speech and Hearing (Q1); Medicine (miscellaneous) (Q2)";"Health Professions; Medicine; Social Sciences"
232;18224;"Local Government Studies";journal;"03003930, 17439388";"Routledge";No;No;0,772;Q1;58;53;140;2688;318;135;1,94;50,72;37,39;18;33;United Kingdom;Western Europe;"Routledge";"1975-2025";"Development (Q1); Sociology and Political Science (Q1)";"Social Sciences"
233;26867;"Millennium: Journal of International Studies";journal;"03058298, 14779021";"SAGE Publications Ltd";No;No;0,771;Q1;81;38;85;181;168;82;2,30;4,76;43,86;2;12;United Kingdom;Western Europe;"SAGE Publications Ltd";"1971-2024";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
234;20841;"Health and Human Rights";journal;"10790969, 21504113";"Harvard School of Public Health";Yes;No;0,767;Q1;46;48;184;2246;441;166;2,74;46,79;61,80;0;36;United States;Northern America;"Harvard School of Public Health";"1994-2001, 2003-2004, 2006, 2008-2024";"Political Science and International Relations (Q1); Sociology and Political Science (Q1); Health (social science) (Q2)";"Social Sciences"
235;27067;"Human Nature";journal;"19364776, 10456767";"Springer New York";No;No;0,765;Q1;83;21;78;1956;189;75;2,23;93,14;28,30;0;4;United States;Northern America;"Springer New York";"1990-2025";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Arts and Humanities; Social Sciences"
236;4700152207;"International Communication Gazette";journal;"17480485, 17480493";"SAGE Publications Ltd";No;No;0,762;Q1;51;33;114;2044;276;110;2,37;61,94;35,14;2;12;United Kingdom;Western Europe;"SAGE Publications Ltd";"1961, 1966, 1996-1997, 2003-2004, 2006-2025";"Communication (Q1); Sociology and Political Science (Q1)";"Social Sciences"
237;25136;"German Politics";journal;"09644008";"Frank Cass Publishers";No;No;0,761;Q1;27;30;97;1579;161;92;1,48;52,63;54,35;6;12;United Kingdom;Western Europe;"Frank Cass Publishers";"1992-1995, 2010-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
238;21101089492;"Project Leadership and Society";journal;"26667215";"Elsevier Ltd";Yes;No;0,754;Q1;20;32;33;2267;161;33;4,88;70,84;35,53;1;13;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Public Administration (Q2)";"Social Sciences"
239;24848;"Critical Sociology";journal;"08969205";"SAGE Publications Ltd";No;No;0,753;Q1;57;75;246;4379;526;227;2,18;58,39;35,05;7;28;United Kingdom;Western Europe;"SAGE Publications Ltd";"1971-1992, 1994-2025";"Sociology and Political Science (Q1)";"Social Sciences"
240;21100208059;"Journal of International Political Theory";journal;"17551722, 17550882";"SAGE Publications Ltd";No;No;0,748;Q1;18;20;82;1337;106;74;1,00;66,85;28,00;0;4;United Kingdom;Western Europe;"SAGE Publications Ltd";"2008-2009, 2014-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
241;21100870585;"Environmental Sociology";journal;"23251042";"Taylor and Francis Ltd.";No;No;0,743;Q1;33;39;105;2611;285;101;2,44;66,95;49,41;5;29;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2025";"Ecology (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Management, Monitoring, Policy and Law (Q2)";"Environmental Science; Social Sciences"
242;100147030;"Current Sociology";journal;"00113921, 14617064";"SAGE Publications Ltd";No;No;0,742;Q1;86;65;174;3325;510;167;2,76;51,15;56,79;8;32;United Kingdom;Western Europe;"SAGE Publications Ltd";"1952-1965, 1967-1969, 1972-1984, 1986-2025";"Sociology and Political Science (Q1)";"Social Sciences"
243;4100151541;"Research in the Sociology of Work";book series;"02772833";"Emerald Group Publishing Ltd.";No;No;0,739;Q1;27;0;17;0;56;6;0,56;0,00;0,00;0;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2001, 2003-2007, 2009-2020, 2023-2024";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
244;18777;"Violence Against Women";journal;"10778012, 15528448";"SAGE Publications Inc.";No;No;0,739;Q1;120;186;361;11062;1039;345;2,30;59,47;76,90;33;179;United States;Northern America;"SAGE Publications Inc.";"1995-2025";"Gender Studies (Q1); Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
245;16865;"Acta Sociologica";journal;"00016993, 15023869";"SAGE Publications Ltd";Yes;No;0,736;Q1;66;22;78;1257;161;77;2,08;57,14;44,00;5;14;United Kingdom;Western Europe;"SAGE Publications Ltd";"1956-1959, 1962, 1964-2025";"Sociology and Political Science (Q1)";"Social Sciences"
246;21100887502;"Journal of Open Innovation: Technology, Market, and Complexity";journal;"21998531";"Elsevier B.V.";Yes;No;0,736;Q1;63;217;547;19713;3020;546;5,85;90,84;38,45;20;171;Switzerland;Western Europe;"Elsevier B.V.";"2015-2025";"Development (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
247;28082;"South European Society and Politics";journal;"13608746, 17439612";"Routledge";No;No;0,734;Q1;56;23;68;1401;179;64;2,26;60,91;41,67;9;4;United Kingdom;Western Europe;"Routledge";"1996-2025";"Sociology and Political Science (Q1)";"Social Sciences"
248;15619;"Journal of Contemporary Ethnography";journal;"08912416, 15525414";"SAGE Publications Inc.";No;No;0,728;Q1;69;32;98;2009;181;97;1,83;62,78;67,35;1;6;United States;Northern America;"SAGE Publications Inc.";"1972-1982, 1984-2025";"Anthropology (Q1); Linguistics and Language (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Social Sciences"
249;26619;"Symbolic Interaction";journal;"15338665, 01956086";"Wiley-Blackwell";No;No;0,720;Q1;61;24;88;1353;182;83;1,88;56,38;45,95;1;6;United States;Northern America;"Wiley-Blackwell";"1977-2025";"Communication (Q1); Education (Q1); Nursing (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Social Psychology (Q2)";"Nursing; Psychology; Social Sciences"
250;21100843365;"Indonesian Journal of Islam and Muslim Societies";journal;"2406825X, 20891490";"Pascasarjana Universitas Islam Negeri (UIN) Salatiga";Yes;No;0,718;Q1;15;16;45;715;76;45;1,42;44,69;35,48;0;8;Indonesia;Asiatic Region;"Pascasarjana Universitas Islam Negeri (UIN) Salatiga";"2011-2024";"Religious Studies (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
251;5700162125;"Action Research";journal;"14767503";"SAGE Publications Ltd";No;No;0,715;Q1;51;26;103;901;248;90;1,80;34,65;75,00;3;9;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2025";"Sociology and Political Science (Q1); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Social Sciences"
252;29840;"International Social Work";journal;"00208728, 14617234";"SAGE Publications Ltd";No;No;0,711;Q1;56;90;286;3865;814;267;3,19;42,94;66,53;9;46;United Kingdom;Western Europe;"SAGE Publications Ltd";"1959-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Social Work (Q2)";"Social Sciences"
253;21100942111;"Journal of Law and Courts";journal;"21646589, 21646570";"Cambridge University Press";No;No;0,709;Q1;21;14;48;962;48;47;1,11;68,71;43,33;0;6;United States;Northern America;"Cambridge University Press";"2013-2025";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
254;19900192164;"Journal of Political Power";journal;"21583803, 2158379X";"Routledge";No;No;0,709;Q1;33;32;79;1986;165;70;2,29;62,06;32,35;0;9;United Kingdom;Western Europe;"Routledge";"2008, 2010-2025";"Sociology and Political Science (Q1)";"Social Sciences"
255;5700163951;"International Journal of Cultural Policy";journal;"14772833, 10286632";"Routledge";No;No;0,703;Q1;63;56;190;3446;444;184;2,61;61,54;56,84;9;17;United Kingdom;Western Europe;"Routledge";"1997-2025";"Cultural Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
256;145332;"Identity";journal;"15283488, 1532706X";"Routledge";No;No;0,700;Q1;41;23;66;1188;139;64;2,32;51,65;56,34;0;4;United Kingdom;Western Europe;"Routledge";"2005-2025";"Anthropology (Q1); Sociology and Political Science (Q1); Psychology (miscellaneous) (Q2)";"Psychology; Social Sciences"
257;21100255082;"International Journal of Integrated Care";journal;"15684156";"Ubiquity Press";Yes;No;0,698;Q1;47;99;215;5022;552;193;2,35;50,73;58,59;17;35;Netherlands;Western Europe;"Ubiquity Press";"2007-2025";"Sociology and Political Science (Q1); Health Policy (Q2); Health (social science) (Q2)";"Medicine; Social Sciences"
258;15429;"Journal of Community and Applied Social Psychology";journal;"10529284, 10991298";"John Wiley and Sons Ltd";No;No;0,698;Q1;74;78;138;4209;349;134;2,60;53,96;59,90;9;38;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1991-2025";"Sociology and Political Science (Q1); Social Psychology (Q2)";"Psychology; Social Sciences"
259;23971;"Critical Asian Studies";journal;"14672715, 14726033";"Routledge";No;No;0,697;Q1;48;29;93;1788;228;85;2,61;61,66;40,54;3;7;United Kingdom;Western Europe;"Routledge";"1968-1993, 1995-2025";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Social Sciences"
260;29346;"South Atlantic Quarterly";journal;"00382876";"Duke University Press";No;No;0,697;Q1;52;48;184;1511;307;178;1,28;31,48;44,68;0;1;United States;Northern America;"Duke University Press";"1907, 1912, 1919, 1941, 1973, 1981, 1984, 1987, 1999, 2001-2025";"Cultural Studies (Q1); Literature and Literary Theory (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
261;25654;"Post-Soviet Affairs";journal;"1060586X";"Taylor and Francis Ltd.";No;No;0,693;Q1;57;29;89;2030;208;87;2,43;70,00;46,94;0;8;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2)";"Economics, Econometrics and Finance; Social Sciences"
262;20369;"Journal of Family Violence";journal;"08857482, 15732851";"Springer New York";No;No;0,691;Q1;98;111;239;6207;603;237;2,35;55,92;74,93;37;107;United States;Northern America;"Springer New York";"1986-2025";"Law (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Clinical Psychology (Q2)";"Psychology; Social Sciences"
263;19900191744;"Equality, Diversity and Inclusion";journal;"17587093, 20407149";"Emerald Publishing";No;No;0,687;Q1;45;74;177;5094;451;170;2,44;68,84;55,91;0;58;United Kingdom;Western Europe;"Emerald Publishing";"2010-2025";"Cultural Studies (Q1); Gender Studies (Q1); Sociology and Political Science (Q1); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Social Sciences"
264;20350;"Journal of Theoretical Politics";journal;"14603667, 09516298";"SAGE Publications Ltd";No;No;0,684;Q1;55;22;71;959;58;64;0,62;43,59;14,29;4;5;United Kingdom;Western Europe;"SAGE Publications Ltd";"1989-2025";"Sociology and Political Science (Q1)";"Social Sciences"
265;21100407611;"International Comparative Social Studies";book series;"15684474";"Brill Academic Publishers";No;No;0,683;Q1;10;0;73;0;35;3;0,15;0,00;0,00;0;0;Netherlands;Western Europe;"Brill Academic Publishers";"2006-2013, 2015-2021, 2023-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Social Sciences"
266;5700164350;"Social Theory and Health";journal;"14778211, 1477822X";"Palgrave Macmillan Ltd.";No;No;0,682;Q1;42;23;75;1469;182;71;2,33;63,87;36,54;1;11;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2003-2024";"Sociology and Political Science (Q1); Health (social science) (Q2)";"Social Sciences"
267;5700164241;"Young";journal;"11033088";"SAGE Publications Inc.";Yes;No;0,682;Q1;41;28;94;1552;214;93;2,09;55,43;71,15;7;12;United States;Northern America;"SAGE Publications Inc.";"1993-2025";"Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2); Health (social science) (Q2)";"Psychology; Social Sciences"
268;50039;"Review of Policy Research";journal;"1541132X, 15411338";"Wiley-Blackwell Publishing Ltd";No;No;0,681;-;57;39;103;2845;263;100;2,07;72,95;47,25;6;25;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1981-1995, 1998-2025";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q2); Public Administration (Q2)";"Environmental Science; Social Sciences"
